Event	ID	Name			Wwise Object Path	Notes
	178186882	Play_Water_Flow			\Default Work Unit\Play_Water_Flow	
	467174588	Play_Waterfall			\Default Work Unit\Play_Waterfall	
	932184717	Play_Flower_atmo			\Default Work Unit\Play_Flower_atmo	
	1020223172	Play_Wind			\Default Work Unit\Play_Wind	
	1469569381	Play_Flower_hit			\Default Work Unit\Play_Flower_hit	
	2466208020	Play_Thunder_atmo			\Default Work Unit\Play_Thunder_atmo	
	2838936948	Play_Rain			\Default Work Unit\Play_Rain	
	3533636090	Play_Boat_turn			\Default Work Unit\Play_Boat_turn	
	3870462868	Play_Thunder			\Default Work Unit\Play_Thunder	
	4052751783	Play_Fish_jump			\Default Work Unit\Play_Fish_jump	
	4066196516	Play_Water_stones			\Default Work Unit\Play_Water_stones	

State Group	ID	Name			Wwise Object Path	Notes
	346625062	Under_Over_water			\Default Work Unit\Under_Over_water	

State	ID	Name	State Group			Notes
	748895195	None	Under_Over_water			
	1551306153	UW	Under_Over_water			
	1651971879	OW	Under_Over_water			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1891532784	Wind_level			\Default Work Unit\Wind_level	
	2520241501	Rain_Intensity			\Default Work Unit\Rain_Intensity	
	2891561476	Thunder_atmo_level			\Default Work Unit\Thunder_atmo_level	
	3282778692	WaterFlow_Intencity			\Default Work Unit\WaterFlow_Intencity	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12877062	boat turn7	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\boat turn7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Boat_turn\boat turn7		157472
	16400555	out4	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\out4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Fish_jump\fish_jump_out\out4		153336
	31578982	out7	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\out7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Fish_jump\fish_jump_out\out7		109468
	36113055	Waterflow2(river)	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\Waterflow2(river)_AD1475E4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Water_flow\Water_Flow\Waterflow2(river)		2048128
	41296059	in5	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\in5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Fish_jump\fish_jump_in\in5		115148
	54518449	rainINT1	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\rainINT1_25075684.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Rain\rainINT1		2470176
	56306691	waterdrop4	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\waterdrop4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Rain\water_drops\waterdrop4		116720
	69067968	Waterflow8(stones turbulebt)	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\Waterflow8(stones turbulebt)_2693483D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Water_flow\Water-stones\Waterflow8(stones turbulebt)		1536128
	75216545	flowerG#2	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\flowerG#2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Flowers\Flower_Hit\flowerG#2		674660
	79053565	in4	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\in4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Fish_jump\fish_jump_in\in4		118080
	108003828	flowerC#2	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\flowerC#2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Flowers\Flower_Hit\flowerC#2		989568
	119376040	boat turn5	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\boat turn5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Boat_turn\boat turn5		271112
	122645653	boat turn2	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\boat turn2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Boat_turn\boat turn2		255712
	140651844	rain+thunder loop	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\rain+thunder loop_0B9C6877.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Rain\rain+thunder loop		8256128
	143588900	waterdrop3	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\waterdrop3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Rain\water_drops\waterdrop3		113804
	151066646	Thunder7	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\Thunder7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Thunder\Thunder\Thunder7		2531532
	164139848	waterdrop2	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\waterdrop2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Rain\water_drops\waterdrop2		110888
	164978351	flowerE2	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\flowerE2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Flowers\Flower_Hit\flowerE2		834752
	166763566	boat turn1	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\boat turn1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Boat_turn\boat turn1		240312
	212974724	waterdrop1	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\waterdrop1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Rain\water_drops\waterdrop1		134216
	249369235	flowerD2	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\flowerD2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Flowers\Flower_Hit\flowerD2		827716
	268600367	Thunderatmo5	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\Thunderatmo5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Thunder\Thunder_atmo\Thunderatmo5		2626312
	283188734	out3	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\out3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Fish_jump\fish_jump_out\out3		139780
	340027341	rain1	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\rain1_F7699424.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Rain\rain1		3840128
	365711869	Thunderatmo2	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\Thunderatmo2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Thunder\Thunder_atmo\Thunderatmo2		2623784
	367504285	boat turn8	C:\A\WwiseProjects\Splanc\.cache\Windows\SFX\boat turn8_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Level_1\Boat_turn\boat turn8		355012
